,ophys_session_id,was_analyzed,n_cells_total,n_cells_analyzed,n_saccades,n_saccades_nasal,n_saccades_temporal
0,649409874,True,26,26,180,68,111
1,663488086,True,35,27,95,14,62
2,604328043,True,52,52,254,95,146
3,577225417,True,10,10,94,39,47
4,627823695,True,21,21,519,269,249
5,588535615,True,14,14,603,346,229
6,650389887,True,181,181,39,16,20
7,662960692,True,91,91,155,60,91
8,546963704,True,196,196,259,111,129
9,570006683,True,18,18,185,97,80
10,627823723,True,78,78,76,52,21
11,569494121,True,126,86,28,8,19
12,657776356,True,9,9,422,217,204
13,613091721,True,35,35,174,76,98
14,652094901,True,207,207,76,19,51
15,593887846,True,1,1,85,14,45
16,646686778,True,68,68,470,199,256
17,560809202,True,41,26,27,11,10
18,511458599,False,71,0,0,0,0
19,575766607,False,206,0,4,1,2
20,701047896,True,108,108,353,242,110
21,691201201,True,128,128,164,90,74
22,603516552,True,46,46,230,94,129
23,590109296,True,18,18,817,498,256
24,664414452,True,46,46,43,19,20
25,663478400,True,93,93,125,38,82
26,581597734,True,189,189,58,23,28
27,594320795,True,169,124,48,8,25
28,559645339,True,20,20,190,99,87
29,539000397,False,39,0,0,0,0
30,507304910,True,142,73,21,10,11
31,578431761,True,238,238,55,29,24
32,546641574,True,191,191,125,51,66
33,638862121,True,7,7,141,37,94
34,617395439,True,16,16,134,45,88
35,596824582,True,249,249,166,27,120
36,700659215,True,128,128,775,558,213
37,572489757,True,93,93,100,33,56
38,595273803,True,75,75,204,112,91
39,569407590,True,128,128,116,49,58
40,601705404,True,12,12,589,310,277
41,584930390,True,4,4,53,23,26
42,511194579,False,57,0,13,3,4
43,613599793,True,146,146,596,311,285
44,629789161,True,20,20,458,274,179
45,582649934,True,6,6,175,110,52
46,593506468,True,1,1,116,31,81
47,645086975,True,46,46,238,80,132
48,689398304,True,20,20,565,280,282
49,581150104,True,8,8,391,130,226
50,667014179,True,22,22,508,304,202
51,704826374,True,120,120,565,332,228
52,508546728,True,90,83,33,13,15
53,642275961,True,10,10,177,151,23
54,672675715,True,14,14,783,423,358
55,645687787,True,39,39,136,72,60
56,667772496,True,17,17,173,73,98
57,698762886,True,167,167,495,278,208
58,660510593,True,125,125,77,21,50
59,594127683,True,12,12,130,69,59
60,510166410,True,51,51,118,69,46
61,607063420,True,15,15,168,42,119
62,547315014,False,143,0,0,0,0
